condition,rows,avg_answer_token_overlap,normalized_containment_count,empty_output_count,repetition_count,hit_cap_count,avg_input_tokens,avg_output_tokens,avg_generation_latency_s,avg_e2e_latency_s,avg_t_compress_ms,avg_t_prefill_ms,generation_tok_per_sec_weighted,e2e_tok_per_sec_weighted,avg_tau_mean,avg_compression_ratio,avg_original_input_tokens,avg_compressed_input_tokens,max_vram_allocated_gib,max_vram_reserved_gib
Baseline-AR,30,0.232963,0,0,0,0,1998.9666666666667,61.63333333333333,4.264360170966666,4.264360170966666,0.0,687.4428179000157,14.4531256419089,14.4531256419089,0.0,0.0,0.0,0.0,2.5025229454040527,4.31640625
DFlash-R1,30,0.233699,0,0,0,0,1998.9666666666667,60.5,3.0968252747666307,3.0968252747666307,0.0,655.7386861333271,19.53613608522332,19.53613608522332,2.6149461786378447,0.0,0.0,0.0,3.5108718872070312,5.318359375
LLMLingua-AR-R2,30,0.358644,0,0,0,22,979.0333333333333,348.53333333333336,20.80235052063334,26.378386660533366,5576.036139900028,375.30881926663824,16.754516898829856,13.212837381552207,0.0,2.0669195124717197,1950.4333333333334,943.5,2.502498149871826,3.41796875
CC-DFlash-R2,30,0.357483,0,0,0,21,979.0333333333333,345.3333333333333,13.127243169499918,19.055571154599907,5928.327985099986,388.17339046672714,26.306615096129796,18.12243414440883,2.761559017313372,2.0669195124717197,1950.4333333333334,943.5,3.510854721069336,4.39453125
