stage,condition,rows,max_new_tokens,numeric_extraction_match_count,numeric_extraction_rate,exact_containment_count,exact_containment_rate,final_answer_marker_count,hit_token_cap_count,cap_hit_failure_count,non_cap_failure_count,avg_output_tokens,avg_input_tokens,avg_generation_latency_s,avg_e2e_latency_s,avg_t_compress_ms,avg_tok_per_sec,generation_tok_per_sec_weighted,e2e_tok_per_sec_weighted,avg_actual_compression_ratio,protected_suffix_preserved_count,question_preserved_count,generated_text_present_count,artifact
task63_mnt256,LLMLingua-AR-R2,30,256,22,0.733333,24,0.8,24,5,5,3,155.43333333333334,94.83333333333333,8.645866595800028,9.436883589033293,791.0169932332641,18.038255789557855,17.977762160804033,16.47083296799,2.6666666666666665,30,30,30,results/task63_gsm8k_short_llmlingua_ar_r2_n30_mnt256.jsonl
task63_mnt256,CC-DFlash-R2,30,256,23,0.766667,25,0.833333,25,5,4,3,159.1,94.83333333333333,2.8640719959999994,3.6746317828332695,810.5597868332703,57.190078004423256,55.550279539830406,43.29685514158601,2.6666666666666665,30,30,30,results/task63_gsm8k_short_cc_dflash_r2_n30_mnt256.jsonl
task65_mnt384,LLMLingua-AR-R2,30,384,24,0.8,25,0.833333,25,3,3,3,172.8,94.83333333333333,24.37787227826667,25.49375505913333,1115.882780866666,10.250567483187119,7.0883954935662885,6.778130549979262,2.6666666666666665,30,30,30,results/task65_gsm8k_short_llmlingua_ar_r2_n30_mnt384.jsonl
task65_mnt384,CC-DFlash-R2,30,384,24,0.8,25,0.833333,26,3,3,3,175.36666666666667,94.83333333333333,37.69315249083329,38.93724916986664,1244.0966790333505,10.044721201289262,4.652480757859524,4.503827835952575,2.6666666666666665,30,30,30,results/task65_gsm8k_short_cc_dflash_r2_n30_mnt384.jsonl
