condition,rows,avg_tokens_per_second,median_tokens_per_second,avg_e2e_latency_s,e2e_output_tokens_per_second,avg_tau_mean,avg_t_prefill_ms,avg_t_compress_ms,avg_R_actual,max_vram_reserved_gib,normalized_containment_total,extracted_numeric_matches,no_containment
Baseline-AR,100,16.910952259563924,17.26172644370548,7.619460089069926,16.7282193895655,0.0,1323.817624650037,,,6.509765625,25,10,75
DFlash-R1,100,42.87456458420886,42.23691204972367,3.061659784300009,41.6408121678837,5.272709841298426,492.3703169798682,,,7.525390625,24,10,76
LLMLingua-AR-R2,100,16.88593301417739,17.414044860075567,11.672820453810015,10.945940658094832,0.0,276.6773896900028,4057.6722841100072,2.0555409612256184,3.203125,17,5,83
CC-LLM-R2,100,48.262044172062474,47.98783330635918,6.901149963790067,18.509958582300683,5.063362563116501,277.74914802998865,4179.746552970032,2.0555409612256184,4.220703125,19,6,81
