condition,rows,hit_cap_count,avg_answer_token_overlap,normalized_containment_count,empty_output_count,repetition_count,avg_output_tokens,avg_e2e_latency_s,e2e_tok_per_sec_weighted,avg_t_compress_ms,avg_original_input_tokens,avg_compressed_input_tokens,avg_compression_ratio
Baseline-AR,30,0,0.232963,0,0,0,61.63333333333333,4.264360170966666,14.4531256419089,0.0,0.0,0.0,0.0
DFlash-R1,30,0,0.233699,0,0,0,60.5,3.0968252747666307,19.53613608522332,0.0,0.0,0.0,0.0
LLMLingua-AR-R2,30,22,0.358644,0,0,0,348.53333333333336,26.378386660533366,13.212837381552207,5576.036139900028,1950.4333333333334,943.5,2.0669195124717197
CC-DFlash-R2,30,21,0.357483,0,0,0,345.3333333333333,19.055571154599907,18.12243414440883,5928.327985099986,1950.4333333333334,943.5,2.0669195124717197
