stage,condition,rows,max_new_tokens,numeric_extraction_match_count,numeric_extraction_rate,exact_containment_count,exact_containment_rate,final_answer_marker_count,hit_token_cap_count,avg_generation_latency_s,avg_e2e_latency_s,avg_t_compress_ms,avg_tok_per_sec,generation_tok_per_sec_weighted,e2e_tok_per_sec_weighted,avg_output_tokens,avg_input_tokens,avg_actual_compression_ratio,protected_suffix_preserved_count,question_preserved_count,generated_text_present_count,artifact
task60_n10,LLMLingua-AR-R2,10,256,8,0.8,10,1.0,8,1,8.975609259499999,9.927521695999996,951.9124364999982,16.835906394770884,16.85679441090425,15.240460271264064,151.3,90.6,2.6666666666666665,10,10,10,results/task60_gsm8k_short_llmlingua_ar_r2_n10_mnt256_suffixfix.jsonl
task60_n10,CC-DFlash-R2,10,256,8,0.8,10,1.0,9,1,2.615625197500003,3.509599663200004,893.9744657000007,59.54624560164599,59.221023007444785,44.136088119738524,154.9,90.6,2.6666666666666665,10,10,10,results/task60_gsm8k_short_cc_dflash_r2_n10_mnt256_suffixfix.jsonl
task63_n30,LLMLingua-AR-R2,30,256,22,0.733333,24,0.8,24,5,8.645866595800028,9.436883589033293,791.0169932332641,18.038255789557855,17.977762160804033,16.47083296799,155.43333333333334,94.83333333333333,2.6666666666666665,30,30,30,results/task63_gsm8k_short_llmlingua_ar_r2_n30_mnt256.jsonl
task63_n30,CC-DFlash-R2,30,256,23,0.766667,25,0.833333,25,5,2.8640719959999994,3.6746317828332695,810.5597868332703,57.190078004423256,55.550279539830406,43.29685514158601,159.1,94.83333333333333,2.6666666666666665,30,30,30,results/task63_gsm8k_short_cc_dflash_r2_n30_mnt256.jsonl
