stage,condition,rows,max_new_tokens,protected_suffix_preserved_count,final_prompt_tail_has_instruction_count,generated_final_answer_marker_present_count,numeric_extraction_match_count,exact_containment_count,hit_max_new_tokens_count,avg_output_tokens,avg_generation_time_s,avg_e2e_time_s,avg_t_compress_ms,avg_tok_per_sec,gen_tok_per_sec_weighted,e2e_tok_per_sec_weighted,avg_actual_compression_ratio,compressed_metadata_complete_rows,all_questions_preserved,artifact
task59_mnt192,LLMLingua-AR-R2,10,192,10,10,7,6,8,3,139.6,7.43329153989996,8.24424367659999,810.9521367000298,18.79826293291365,18.78037464973139,16.93302690654729,2.6666666666666665,10,True,results/task59_gsm8k_short_llmlingua_ar_r2_n10_mnt192_suffixfix.jsonl
task59_mnt192,CC-DFlash-R2,10,192,10,10,7,7,9,3,144.4,2.179657945400004,2.9336286941000482,753.9707487000442,68.22409959178854,66.24892694963667,49.222316474613606,2.6666666666666665,10,True,results/task59_gsm8k_short_cc_dflash_r2_n10_mnt192_suffixfix.jsonl
task60_mnt256,LLMLingua-AR-R2,10,256,10,10,8,8,10,1,151.3,8.975609259499999,9.927521695999996,951.9124364999982,16.835906394770884,16.85679441090425,15.240460271264064,2.6666666666666665,10,True,results/task60_gsm8k_short_llmlingua_ar_r2_n10_mnt256_suffixfix.jsonl
task60_mnt256,CC-DFlash-R2,10,256,10,10,9,8,10,1,154.9,2.615625197500003,3.509599663200004,893.9744657000007,59.54624560164599,59.221023007444785,44.136088119738524,2.6666666666666665,10,True,results/task60_gsm8k_short_cc_dflash_r2_n10_mnt256_suffixfix.jsonl
