dataset,condition,rows,success_count,cap_hits,mean_target_prefill_ms,mean_decode_total_ms,mean_request_e2e_ms,mean_per_row_tau,global_weighted_tau
gsm8k,baseline-ar,10,10,10,109.92936360053136,210.0514331010345,320.0691880978411,0.0,0.0
gsm8k,dflash-r1,10,10,10,111.09530710091349,503.31125870070537,616.7666112989536,1.5804761904761906,1.5254237288135593
qmsum,baseline-ar,10,10,10,649.3162551996647,208.11388970032567,857.5555899988103,0.0,0.0
qmsum,dflash-r1,10,10,10,644.4300866009144,606.7161439001211,1254.1088603997196,1.6316666666666668,1.6
