execution,condition,rows,dataset_ids,avg_input_tokens,avg_output_tokens,avg_t_generation_ms,avg_t_compress_ms,avg_t_e2e_ms,avg_generation_tok_s,avg_target_prefill_ms,avg_draft_prefill_ms,avg_draft_proposal_ms,avg_target_verification_ms,avg_verification_call_count,avg_draft_tokens_proposed,avg_accepted_tokens,avg_accepted_tokens_per_verification,avg_rejection_or_rollback_count,avg_rollback_tokens,timing_scope
T115 corrected live runner,Baseline-AR,3,"['qmsum_meeting_qa_test_0082', 'qmsum_meeting_qa_test_0015', 'qmsum_meeting_qa_test_0004']",2058.0,54.333333,2372.217696,0.0,2372.217696,21.117846,,,,,0.0,0.0,0.0,,0.0,0.0,['included_in_generation']
T115 corrected live runner,DFlash-R1,3,"['qmsum_meeting_qa_test_0082', 'qmsum_meeting_qa_test_0015', 'qmsum_meeting_qa_test_0004']",2058.0,54.333333,2917.522589,0.0,2917.522589,18.605248,684.125169,19.273811,248.859837,1970.571432,21.0,315.0,55.0,3.184472,21.0,281.0,['included_in_generation']
T115 corrected live runner,CC-DFlash-R2,3,"['qmsum_meeting_qa_test_0082', 'qmsum_meeting_qa_test_0015', 'qmsum_meeting_qa_test_0004']",950.333333,67.0,3198.119573,128.327225,3326.446798,21.740925,319.12061,14.35138,329.876708,2528.977217,29.666667,445.0,68.0,2.485086,29.666667,406.666667,['included_in_generation']
