artifact,avg_R_actual,avg_e2e_time_s,avg_output_length_chars,avg_t_compress_ms,avg_tau_mean,avg_tokens_per_second,cap_limited_incomplete_count,exact_containment_count,final_answer_marker_count,max_new_tokens,metadata_ok,profile,row_count,setting,strict_correct_count,strict_wrong_numeric_count
results/phase_2_system_optimization/compressor_comparison/task94_light_vs_large_compressor_controlled_comparison/runs/20260620_192758_cc_dflash_r2_large_n10.jsonl,2.666667,3.10351,341.5,1190.111126,6.061607,64.455549,5,7,5,128,True,large,10,large_128,5,0
results/phase_2_system_optimization/compressor_comparison/task94_light_vs_large_compressor_controlled_comparison/runs/20260620_192904_cc_dflash_r2_light_n10.jsonl,2.0,2.461085,367.3,406.389583,5.879335,63.276898,7,4,3,128,True,light,10,light_128,2,1
results/phase_2_system_optimization/quality_and_latency_audits/task95c_cap_tail_policy_triage/resume_mnt256/runs/20260621_024734_cc_dflash_r2_large_n10_mnt256.jsonl,2.666667,3.784457,428.3,1272.618626,6.02558,61.984342,1,10,9,256,True,large,10,large_256,8,1
results/phase_2_system_optimization/quality_and_latency_audits/task95c_cap_tail_policy_triage/resume_mnt256/runs/20260621_024839_cc_dflash_r2_light_n10_mnt256.jsonl,2.0,3.09177,469.8,412.967756,5.880314,61.230796,1,9,9,256,True,light,10,light_256,8,1
