stage,condition,rows,max_new_tokens,numeric_extraction_match_count,numeric_extraction_rate,exact_containment_count,exact_containment_rate,final_answer_marker_count,hit_token_cap_count,cap_hit_failure_count,non_cap_failure_count,avg_output_tokens,avg_input_tokens,avg_generation_latency_s,avg_e2e_latency_s,avg_t_compress_ms,avg_tok_per_sec,generation_tok_per_sec_weighted,e2e_tok_per_sec_weighted,avg_actual_compression_ratio,protected_suffix_preserved_count,question_preserved_count,generated_text_present_count,artifact
task65_mnt384,LLMLingua-AR-R2,30,384,24,0.8,25,0.833333,25,3,3,3,172.8,94.83333333333333,24.37787227826667,25.49375505913333,1115.882780866666,10.250567483187119,7.0883954935662885,6.778130549979262,2.6666666666666665,30,30,30,results/phase_1_system_build_and_evaluation/early_experiments/task65_gsm8k_short_llmlingua_ar_r2_n30_mnt384.jsonl
task65_mnt384,CC-DFlash-R2,30,384,24,0.8,25,0.833333,26,3,3,3,175.36666666666667,94.83333333333333,37.69315249083329,38.93724916986664,1244.0966790333505,10.044721201289262,4.652480757859524,4.503827835952575,2.6666666666666665,30,30,30,results/phase_1_system_build_and_evaluation/early_experiments/task65_gsm8k_short_cc_dflash_r2_n30_mnt384.jsonl
task66_mnt384_rerun,LLMLingua-AR-R2,30,384,24,0.8,25,0.833333,25,3,3,3,172.8,94.83333333333333,9.723285715333338,10.557274934566664,833.9892192333258,17.746123215302624,17.771770269745282,16.36786017897646,2.6666666666666665,30,30,30,results/phase_1_system_build_and_evaluation/early_experiments/task66_gsm8k_short_llmlingua_ar_r2_n30_mnt384_rerun.jsonl
task66_mnt384_rerun,CC-DFlash-R2,30,384,24,0.8,25,0.833333,26,3,3,3,175.36666666666667,94.83333333333333,3.240428434800003,4.109472206033335,869.0437712333315,55.36698958238422,54.118358172440296,42.673768765050056,2.6666666666666665,30,30,30,results/phase_1_system_build_and_evaluation/early_experiments/task66_gsm8k_short_cc_dflash_r2_n30_mnt384_rerun.jsonl
