condition,phase,rows,hit_cap_count,avg_output_tokens,avg_answer_token_overlap,normalized_containment_count,repetition_count,empty_output_count,avg_e2e_latency_s,e2e_tok_per_sec_weighted,avg_t_compress_ms,avg_compression_ratio,policy_preservation_rate
CC-DFlash-R2,before,30,21,345.3333333333333,0.357483,0,0,0,19.055571154599907,18.12243414440883,5928.327985099986,2.0669195124717197,0.0
CC-DFlash-R2,after,30,0,48.666666666666664,0.228499,0,0,0,7.575937319233344,6.423847586900514,5226.330991599965,2.0669195124717197,1.0
LLMLingua-AR-R2,before,30,22,348.53333333333336,0.358644,0,0,0,26.378386660533366,13.212837381552207,5576.036139900028,2.0669195124717197,0.0
LLMLingua-AR-R2,after,30,0,48.5,0.227541,0,0,0,8.040080427300047,6.032277965195289,5158.2555776666895,2.0669195124717197,1.0
