dataset,condition,benchmark_prompt_index,precompression_prompt_hash,precompression_input_tokens,original_input_tokens,compressed_input_tokens,t_compress_ms,t_prefill_ms,t_generation_ms,t_e2e_ms,peak_allocated_gib,peak_reserved_gib,cap_hit,finish_reason
gsm8k,baseline_ar,24,c5e35b5b98fec84971fca83d0122a1d53c618a13017614f2465b2d37c1fd33b9,109,109,,0.0,97.69334299994625,7494.5076639999115,7592.201006999858,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,25,a8de57c32fb9963ad0e300d58e8757a170c2e49fa9e0e0ab8c6921b5ff0d7e7f,93,93,,0.0,96.28053300002648,6660.092457999781,6756.372990999807,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,26,ba339f7e1525c5a61af248f96c6d539d4c04d7ce68c6bc39614971c8271dc9f3,78,78,,0.0,108.19322299994383,6170.407782999973,6278.601005999917,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,27,49e97a3fa69eef2aa2cb11ee8ccc0f32b25869659f0ba6f6f263c1e037c62d4e,117,117,,0.0,95.79649099987364,6592.270475000078,6688.066965999951,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,28,8d04b84524d325412fdd7a880d096defa1809fcf65ee38b26d36976295b512ee,108,108,,0.0,101.60404199996265,6523.709530000133,6625.3135720000955,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,29,f4aa73b456bb9bbbd771dd75b7d17d5f6382c3628d5a57133892afafa1bf322e,94,94,,0.0,102.2877679999965,5978.840657999854,6081.12842599985,2.4919610023498535,2.890625,False,eos_or_stop
gsm8k,baseline_ar,30,9ad68c9456e2cabf9a86c79b24bc4d8dcfbb9f724c80eb35686177e900d534dc,103,103,,0.0,95.29706100011026,8577.661011999908,8672.958073000018,2.4919614791870117,2.890625,False,eos_or_stop
gsm8k,baseline_ar,31,a3d3875847252f18cf940095b5b19fdf46239de5aa493a1b6f2a5dfe574ee1fb,74,74,,0.0,93.47386899980847,3694.7770899998886,3788.250958999697,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,32,8f395d2ea1b4d5dbbc2d23cf45fe96578de6ede38c244ed3391a6b315d5ea891,83,83,,0.0,93.49803300005988,4036.2607550000575,4129.758788000117,2.4919605255126953,2.890625,False,eos_or_stop
gsm8k,baseline_ar,33,fef3c45971d0c620d9709d2241c3972840a9c6194a8d41dddcc96f80be9d5d8c,88,88,,0.0,95.70672900008503,4866.909618999898,4962.616347999983,2.4919605255126953,2.890625,False,eos_or_stop
