dataset,condition,display_name,run_path,resolved_prompt_policy,resolved_prompt_policy_hash,row_policy_hash_unique_count,row_count,success_count,avg_original_input_tokens,avg_compressed_input_tokens,avg_compression_retained_ratio,avg_compression_reduction_pct,avg_t_compress_ms,avg_t_prefill_ms,avg_t_generation_ms,avg_t_e2e_ms,avg_generation_tok_s,avg_e2e_tok_s,max_peak_allocated_gib,max_peak_reserved_gib,cap_hit_count,gsm8k_strict_numeric_correct_count,gsm8k_wrong_numeric_count,gsm8k_invalid_output_count,qmsum_avg_reference_recall,qmsum_avg_reference_precision,qmsum_invalid_output_count,qmsum_semantic_correctness_claimed
gsm8k,baseline_ar,Baseline-AR,results/phase_2_revalidation/task114_canonical_matrix/runs/gsm8k/baseline_ar.jsonl,gsm8k_concise_final_answer_v1,2e923742f34e646aa0e2bc22c39e31ab75e3ce33358fb75f1e32440c4266a873,1,100,100,119.18,,,,0.0,107.225419,3297.033667,3404.259087,31.075652,30.013912,2.491964,2.894531,1,90,9,0,,,,
gsm8k,dflash_r1,DFlash-R1,results/phase_2_revalidation/task114_canonical_matrix/runs/gsm8k/dflash_r1.jsonl,gsm8k_concise_final_answer_v1,2e923742f34e646aa0e2bc22c39e31ab75e3ce33358fb75f1e32440c4266a873,1,100,100,119.18,,,,0.0,105.618183,1986.162301,2091.780484,52.594348,49.692824,3.499487,3.851562,1,89,10,0,,,,
gsm8k,cc_dflash_r2_light_gpu,CC-DFlash-R2 Light GPU,results/phase_2_revalidation/task114_canonical_matrix/runs/gsm8k/cc_dflash_r2_light_gpu.jsonl,gsm8k_concise_final_answer_v1,2e923742f34e646aa0e2bc22c39e31ab75e3ce33358fb75f1e32440c4266a873,1,100,100,119.18,8.0,0.068764,93.123633,15.673785,99.703998,2057.610892,2172.988675,54.032016,50.85613,4.162785,4.439453,2,88,10,0,,,,
qmsum,baseline_ar,Baseline-AR,results/phase_2_revalidation/task114_canonical_matrix/runs/qmsum/baseline_ar.jsonl,qmsum_t105b_compatible_evidence_focused_v1,d48a7aa2188c3483087f4e4989f7a9b353a39f7445d2bbba8d341c860b502b2e,1,100,100,2070.85,,,,0.0,713.402596,3878.197289,4591.599885,26.934336,22.60196,2.492013,5.033203,0,,,,0.222768,0.13992,0,False
qmsum,dflash_r1,DFlash-R1,results/phase_2_revalidation/task114_canonical_matrix/runs/qmsum/dflash_r1.jsonl,qmsum_t105b_compatible_evidence_focused_v1,d48a7aa2188c3483087f4e4989f7a9b353a39f7445d2bbba8d341c860b502b2e,1,100,100,2070.85,,,,0.0,694.948827,5276.779701,5971.728528,20.105701,17.54228,3.498544,6.029297,0,,,,0.226467,0.142479,0,False
qmsum,cc_dflash_r2_light_gpu,CC-DFlash-R2 Light GPU,results/phase_2_revalidation/task114_canonical_matrix/runs/qmsum/cc_dflash_r2_light_gpu.jsonl,qmsum_t105b_compatible_evidence_focused_v1,d48a7aa2188c3483087f4e4989f7a9b353a39f7445d2bbba8d341c860b502b2e,1,100,100,2070.85,887.17,0.428869,57.113069,118.559753,344.022552,4916.715553,5379.297858,22.41783,20.27114,4.16124,5.724609,0,,,,0.21353,0.129606,0,False
